method,split seed,p,selection,labels,improvement
OBMA,23,"(0.25, 30)","[[5, 7, 9, 11, 15, 16, 27, 30, 33], [11, 12, 13, 15, 18, 19, 27, 31, 33, 36], [0, 1, 2, 7, 11, 14, 19, 21, 25, 35, 40]]","[2, 0, 1]",[nan]
OBMA,23,"(0.125, 15)","[[5, 15, 16, 30, 33], [11, 12, 13, 33, 36], [0, 7, 19, 25, 40]]","[2, 0, 1]",[nan]
OBMA,24,"(0.5, 60)","[[2, 4, 8, 9, 10, 12, 15, 16, 17, 20, 22, 24, 26, 27, 30, 31, 32, 33, 35], [0, 4, 5, 6, 9, 12, 13, 15, 16, 17, 20, 21, 23, 24, 25, 27, 28, 30, 31], [0, 1, 2, 3, 7, 9, 10, 13, 14, 17, 19, 23, 24, 25, 27, 29, 31, 32, 35, 37, 41]]","[0, 2, 1]",[nan]
OBMA,24,"(0.25, 30)","[[8, 9, 12, 15, 16, 22, 27, 30, 31, 33], [4, 5, 9, 12, 13, 15, 17, 21, 27, 30], [0, 2, 7, 10, 14, 17, 25, 27, 29, 41]]","[0, 2, 1]",[nan]
OBMA,24,"(0.125, 15)","[[8, 12, 15, 16, 30], [4, 5, 15, 21, 27], [0, 10, 25, 29, 41]]","[0, 2, 1]",[nan]
OBMA,25,"(0.5, 60)","[[3, 6, 11, 12, 13, 15, 16, 18, 19, 20, 21, 24, 25, 27, 28, 29, 30, 32, 33], [0, 3, 4, 5, 6, 7, 9, 10, 13, 14, 16, 17, 20, 21, 24, 27, 28, 30, 32], [0, 1, 2, 5, 6, 8, 12, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 31, 32, 35, 38]]","[0, 2, 1]",[nan]
OBMA,25,"(0.25, 30)","[[3, 6, 11, 12, 15, 18, 19, 20, 25, 30], [3, 4, 7, 9, 13, 14, 17, 24, 30, 32], [1, 6, 8, 12, 18, 21, 23, 28, 31, 38]]","[0, 2, 1]",[nan]
OBMA,25,"(0.125, 15)","[[11, 12, 15, 18, 20], [3, 4, 17, 24, 30], [1, 6, 8, 12, 28]]","[0, 2, 1]",[nan]
OBMA,26,"(0.5, 60)","[[0, 1, 2, 5, 6, 7, 9, 10, 13, 15, 17, 19, 20, 21, 22, 24, 29, 35], [0, 1, 5, 6, 7, 8, 11, 13, 14, 15, 17, 20, 21, 22, 25, 26, 30, 31, 33, 34], [2, 3, 4, 7, 9, 12, 13, 14, 15, 17, 19, 20, 25, 27, 29, 30, 32, 35, 36, 37, 38]]","[1, 2, 0]",[nan]
OBMA,26,"(0.25, 30)","[[0, 5, 10, 13, 17, 20, 21, 24, 35], [5, 6, 7, 8, 13, 14, 15, 26, 30, 33], [7, 12, 13, 14, 15, 19, 20, 27, 32, 35, 38]]","[1, 2, 0]",[nan]
OBMA,26,"(0.125, 15)","[[0, 5, 17, 24, 35], [5, 13, 14, 26, 30], [12, 14, 19, 35, 38]]","[1, 2, 0]",[nan]
OBMA,27,"(0.5, 60)","[[0, 1, 2, 6, 8, 11, 12, 14, 15, 16, 19, 21, 23, 25, 26, 29, 31, 35], [2, 3, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 20, 26, 27, 29, 33, 34, 36, 38], [0, 4, 5, 6, 7, 8, 9, 12, 15, 16, 17, 19, 20, 22, 23, 26, 28, 29, 32, 33, 41]]","[1, 0, 2]",[nan]
OBMA,27,"(0.25, 30)","[[0, 6, 8, 11, 12, 16, 19, 23, 35], [6, 9, 10, 13, 17, 19, 27, 33, 34, 36], [4, 5, 9, 12, 15, 16, 17, 19, 23, 26, 32]]","[1, 0, 2]",[nan]
OBMA,27,"(0.125, 15)","[[0, 1, 8, 23, 35], [9, 13, 17, 18, 33], [5, 16, 19, 26, 32]]","[1, 0, 2]",[nan]
OBMA,28,"(0.5, 60)","[[1, 4, 7, 11, 12, 13, 15, 17, 18, 19, 20, 24, 26, 27, 29, 30, 32, 33, 34], [1, 4, 5, 6, 7, 8, 10, 14, 15, 16, 18, 19, 21, 22, 28, 29, 31, 32, 34, 35], [0, 1, 2, 5, 8, 11, 12, 13, 16, 21, 22, 23, 25, 27, 30, 31, 33, 34, 36, 39]]","[0, 2, 1]",[nan]
OBMA,28,"(0.25, 30)","[[11, 12, 15, 18, 19, 27, 30, 32, 33, 34], [4, 8, 10, 14, 15, 16, 18, 19, 31, 34], [0, 2, 5, 8, 13, 16, 23, 25, 34, 39]]","[0, 2, 1]",[nan]
OBMA,28,"(0.125, 15)","[[11, 12, 15, 18, 32], [10, 14, 15, 31, 34], [0, 8, 16, 23, 39]]","[0, 2, 1]",[nan]
OBMA,29,"(0.5, 60)","[[0, 4, 5, 6, 7, 10, 13, 14, 15, 16, 18, 19, 22, 24, 25, 26, 30, 31, 35], [1, 2, 7, 9, 10, 11, 12, 16, 17, 18, 22, 23, 24, 25, 26, 29, 32, 33, 34, 37], [0, 1, 2, 3, 7, 8, 12, 14, 17, 18, 20, 21, 22, 24, 25, 26, 28, 30, 31, 35, 40]]","[2, 0, 1]",[nan]
OBMA,29,"(0.25, 30)","[[4, 5, 7, 10, 13, 14, 15, 19, 22, 30], [9, 10, 11, 16, 17, 18, 25, 29, 32, 34], [0, 2, 8, 12, 14, 18, 24, 28, 35, 40]]","[2, 0, 1]",[nan]
OBMA,29,"(0.125, 15)","[[5, 13, 15, 19, 22], [9, 11, 16, 32, 34], [0, 8, 22, 28, 40]]","[2, 0, 1]",[nan]
OBMA,30,"(0.5, 60)","[[2, 4, 8, 9, 10, 11, 12, 14, 16, 17, 18, 23, 25, 27, 29, 30, 32, 33], [2, 3, 4, 5, 8, 11, 12, 13, 15, 16, 18, 19, 20, 24, 27, 28, 30, 32, 33], [0, 1, 2, 3, 7, 9, 10, 14, 15, 18, 20, 21, 23, 24, 25, 27, 30, 32, 33, 35, 37, 42]]","[0, 2, 1]",[nan]
OBMA,30,"(0.25, 30)","[[8, 9, 10, 12, 16, 17, 29, 30, 32], [5, 8, 11, 12, 13, 15, 16, 24, 30, 32], [0, 2, 7, 10, 14, 15, 18, 21, 30, 37, 42]]","[0, 2, 1]",[nan]
OBMA,30,"(0.125, 15)","[[8, 10, 16, 29, 32], [8, 11, 12, 24, 30], [0, 10, 25, 30, 42]]","[0, 2, 1]",[nan]
OBMA,31,"(0.5, 60)","[[0, 1, 5, 6, 7, 8, 10, 11, 14, 15, 16, 18, 19, 20, 22, 25, 26, 29, 31], [0, 1, 2, 3, 7, 9, 10, 12, 13, 14, 16, 20, 21, 22, 25, 27, 30, 33, 35, 39], [2, 7, 9, 12, 13, 15, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30, 33, 34, 35, 36, 40]]","[2, 1, 0]",[nan]
OBMA,31,"(0.25, 30)","[[5, 6, 7, 8, 10, 14, 20, 25, 26, 31], [0, 2, 7, 10, 12, 13, 14, 22, 27, 39], [12, 13, 15, 19, 20, 26, 30, 33, 34, 36]]","[2, 1, 0]",[nan]
OBMA,31,"(0.125, 15)","[[6, 7, 10, 14, 31], [0, 10, 22, 27, 39], [12, 13, 15, 19, 33]]","[2, 1, 0]",[nan]
OBMA,32,"(0.5, 60)","[[0, 1, 2, 5, 8, 9, 13, 14, 16, 17, 18, 19, 20, 22, 24, 27, 30, 34], [2, 3, 5, 10, 11, 12, 13, 15, 17, 18, 19, 20, 23, 25, 26, 28, 31, 34, 35, 36], [0, 1, 5, 6, 7, 8, 9, 10, 12, 16, 17, 18, 20, 21, 23, 24, 28, 29, 30, 33, 34]]","[1, 0, 2]",[nan]
OBMA,32,"(0.25, 30)","[[0, 5, 9, 14, 18, 19, 22, 30, 34], [5, 10, 11, 12, 15, 17, 19, 26, 34, 36], [5, 6, 10, 12, 16, 17, 18, 20, 24, 28, 33]]","[1, 0, 2]",[nan]
OBMA,32,"(0.125, 15)","[[0, 5, 9, 22, 34], [10, 12, 17, 34, 36], [6, 17, 20, 28, 33]]","[1, 0, 2]",[nan]
