method,split seed,p,selection,labels,improvement
OBMA,21,"(0.25, 42)","[[3, 7, 13, 14, 20, 29, 31, 38, 39, 44, 45, 46, 50], [0, 1, 8, 16, 17, 18, 27, 29, 31, 32, 39, 43, 51, 54], [10, 14, 15, 16, 21, 24, 33, 38, 40, 44, 48, 52, 55, 57, 58]]","[1, 3, 2]",[nan]
OBMA,21,"(0.125, 21)","[[13, 20, 29, 31, 44, 46, 50], [0, 16, 27, 29, 31, 32, 54], [15, 16, 24, 33, 40, 48, 58]]","[1, 3, 2]",[nan]
OBMA,22,"(0.5, 84)","[[1, 2, 8, 10, 11, 12, 14, 15, 18, 19, 21, 22, 23, 26, 27, 29, 33, 37, 38, 40, 41, 42, 45, 47, 48, 49, 53], [0, 2, 4, 5, 8, 11, 12, 16, 17, 25, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 41, 45, 46, 49, 50, 51, 53, 54], [1, 2, 5, 6, 7, 9, 11, 12, 16, 17, 19, 22, 24, 27, 28, 31, 32, 33, 34, 41, 43, 44, 45, 46, 48, 49, 50, 56]]","[3, 2, 1]",[nan]
OBMA,22,"(0.25, 42)","[[1, 11, 12, 14, 15, 26, 27, 29, 37, 45, 47, 48, 49, 53], [2, 4, 11, 12, 16, 17, 30, 38, 39, 41, 45, 49, 50, 54], [1, 5, 7, 12, 16, 17, 22, 24, 33, 41, 43, 46, 48, 49]]","[3, 2, 1]",[nan]
OBMA,22,"(0.125, 21)","[[11, 15, 26, 27, 45, 48, 49], [2, 11, 12, 17, 39, 41, 49], [1, 5, 7, 12, 17, 48, 49]]","[3, 2, 1]",[nan]
OBMA,23,"(0.5, 84)","[[2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 17, 20, 29, 30, 31, 32, 34, 36, 38, 40, 44, 46, 47, 49, 51, 52], [1, 2, 4, 5, 8, 12, 15, 17, 18, 21, 23, 24, 25, 26, 29, 30, 32, 33, 36, 39, 40, 42, 44, 45, 47, 48, 49, 53], [1, 6, 8, 10, 13, 15, 18, 19, 20, 21, 26, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 45, 47, 48, 49, 51, 52, 53, 58]]","[2, 3, 1]",[nan]
OBMA,23,"(0.25, 42)","[[2, 14, 15, 17, 20, 31, 32, 38, 40, 44, 46, 47, 51], [2, 8, 15, 17, 18, 30, 32, 33, 39, 42, 44, 47, 49, 53], [6, 8, 13, 15, 19, 20, 26, 28, 33, 35, 39, 47, 49, 51, 52]]","[2, 3, 1]",[nan]
OBMA,23,"(0.125, 21)","[[15, 17, 20, 31, 40, 47, 51], [8, 15, 18, 30, 44, 47, 53], [8, 26, 28, 33, 35, 49, 52]]","[2, 3, 1]",[nan]
OBMA,24,"(0.5, 84)","[[3, 6, 7, 8, 10, 13, 14, 15, 16, 19, 20, 22, 31, 32, 33, 35, 37, 39, 40, 42, 43, 44, 46, 48, 49, 51], [1, 2, 8, 9, 10, 12, 16, 17, 19, 21, 23, 24, 25, 27, 29, 31, 32, 37, 38, 40, 41, 42, 43, 45, 46, 47, 54], [1, 2, 6, 9, 10, 12, 15, 17, 19, 20, 22, 23, 24, 25, 27, 29, 31, 32, 35, 36, 39, 40, 43, 44, 45, 46, 48, 50, 52, 54]]","[2, 1, 3]",[nan]
OBMA,24,"(0.25, 42)","[[10, 14, 15, 20, 22, 32, 33, 40, 42, 44, 46, 48, 51], [2, 10, 12, 16, 17, 19, 25, 27, 31, 37, 38, 40, 45, 46], [1, 2, 9, 15, 17, 24, 27, 29, 31, 32, 39, 43, 48, 52, 54]]","[2, 1, 3]",[nan]
OBMA,24,"(0.125, 21)","[[15, 20, 22, 32, 33, 48, 51], [2, 12, 25, 31, 38, 45, 46], [9, 15, 17, 27, 48, 52, 54]]","[2, 1, 3]",[nan]
OBMA,25,"(0.5, 84)","[[5, 8, 12, 13, 14, 15, 18, 19, 21, 26, 29, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 46, 48, 49, 50, 51], [1, 2, 6, 8, 10, 14, 15, 18, 19, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 34, 38, 39, 42, 43, 47, 49, 50, 54], [2, 6, 7, 9, 12, 13, 15, 18, 19, 20, 24, 26, 27, 29, 30, 32, 33, 34, 35, 41, 42, 44, 45, 47, 48, 49, 50, 56, 57]]","[2, 3, 1]",[nan]
